person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
412427,IN,8,Nay,"Rep. Larry Bucshon [R, 2011-2024]",Republican,"Bucshon, Larry",replarrybucshon,IN,R
412434,MD,1,Nay,"Rep. Andy Harris [R, 2011-2024]",Republican,Andy Harris R-MD,repandyharrismd,MD,R
412435,MA,9,Yea,"Rep. William R. Keating [D, 2013-2024]",Democrat,"Keating, William",usrepkeating,MA,D
412437,MI,2,Nay,"Rep. Bill Huizenga [R, 2011-2022]",Republican,Bill Huizenga R-MI,rephuizenga,MI,R
412443,MS,4,Nay,"Rep. Steven Palazzo [R, 2011-2022]",Republican,,,,
412444,MO,4,Nay,"Rep. Vicky Hartzler [R, 2011-2022]",Republican,Vicky Hartzler R-MO,rephartzler,MO,R
412445,MO,7,Nay,"Rep. Billy Long [R, 2011-2022]",Republican,Billy Long R-MO,usreplong,MO,R
412460,OH,6,Nay,"Rep. Bill Johnson [R, 2011-2024]",Republican,Bill Johnson R-OH,repbilljohnson,OH,R
412461,OH,15,Nay,"Rep. Steve Stivers [R, 2011-2021]",Republican,Steve Stivers R-OH,repstevestivers,OH,R
412463,OH,7,Nay,"Rep. Bob Gibbs [R, 2013-2022]",Republican,Bob Gibbs R-OH,repbobgibbs,OH,R
412465,PA,16,Nay,"Rep. Mike Kelly [R, 2019-2024]",Republican,"Kelly, Mike",mikekellypa,PA,R
412470,RI,1,Yea,"Rep. David Cicilline [D, 2011-2023]",Democrat,,,,
412472,SC,3,Nay,"Rep. Jeff Duncan [R, 2011-2024]",Republican,"Duncan, Jeff",repjeffduncan,SC,R
412476,TN,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2024]",Republican,Chuck Fleischmann R-TN,repchuck,TN,R
412477,TN,4,Nay,"Rep. Scott DesJarlais [R, 2011-2024]",Republican,"DesJarlais, Scott",desjarlaistn04,TN,R
412485,VA,9,Nay,"Rep. Morgan Griffith [R, 2011-2024]",Republican,"Griffith, Morgan",repmgriffith,VA,R
412486,WA,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican,,,,
412487,WV,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican,David McKinley R-WV,repmckinley,WV,R
412500,NV,2,Nay,"Rep. Mark Amodei [R, 2011-2024]",Republican,"Amodei, Mark",markamodeinv2,NV,R
