person,state,district,vote,name,party,matched-name,twitter-handle,matched-state,matched-party
400289,NY,12,Nay,Rep. Jerrold Nadler [D],Democrat,Jerry Nadler D-NY,repjerrynadler,NY,D
400290,CA,31,Nay,Rep. Grace Napolitano [D],Democrat,"Napolitano, Grace",gracenapolitano,CA,D
400291,MA,1,Nay,Rep. Richard Neal [D],Democrat,"Neal, Richard ",reprichardneal,MA,D
400308,NJ,6,Nay,Rep. Frank Pallone [D],Democrat,"Pallone Jr., Frank",frankpallone,NJ,D
400309,NJ,9,Nay,"Rep. Bill Pascrell [D, 2013-2024]",Democrat,"Pascrell Jr., Bill",billpascrell,NJ,D
400314,CA,11,Nay,Rep. Nancy Pelosi [D],Democrat,Nancy Pelosi D-CA,speakerpelosi,CA,D
400340,KY,5,Yea,Rep. Harold “Hal” Rogers [R],Republican,Hal Rogers R-KY,rephalrogers,KY,R
400341,AL,3,Not Voting,Rep. Mike Rogers [R],Republican,Mike Rogers R-AL,repmikerogersal,AL,R
400349,MD,2,Nay,Rep. A. Dutch Ruppersberger [D],Democrat,"Ruppersberger, C. A. Dutch",call_me_dutch,MD,D
400355,CA,38,Nay,Rep. Linda Sánchez [D],Democrat,"Sánchez, Linda",replindasanchez,CA,D
